Date,Home Team,Away Team,Home Score,Away Score,Status,Match Day
2022-11-20T16:00:00Z,Qatar,Ecuador,0,2,FINISHED,1
2022-11-21T13:00:00Z,England,Iran,6,2,FINISHED,1
2022-11-21T16:00:00Z,Senegal,Netherlands,0,2,FINISHED,1
2022-11-21T19:00:00Z,United States,Wales,1,1,FINISHED,1
2022-11-22T10:00:00Z,Argentina,Saudi Arabia,1,2,FINISHED,1
2022-11-22T13:00:00Z,Denmark,Tunisia,0,0,FINISHED,1
2022-11-22T16:00:00Z,Mexico,Poland,0,0,FINISHED,1
2022-11-22T19:00:00Z,France,Australia,4,1,FINISHED,1
2022-11-23T10:00:00Z,Morocco,Croatia,0,0,FINISHED,1
2022-11-23T13:00:00Z,Germany,Japan,1,2,FINISHED,1
2022-11-23T16:00:00Z,Spain,Costa Rica,7,0,FINISHED,1
2022-11-23T19:00:00Z,Belgium,Canada,1,0,FINISHED,1
2022-11-24T10:00:00Z,Switzerland,Cameroon,1,0,FINISHED,1
2022-11-24T13:00:00Z,Uruguay,South Korea,0,0,FINISHED,1
2022-11-24T16:00:00Z,Portugal,Ghana,3,2,FINISHED,1
2022-11-24T19:00:00Z,Brazil,Serbia,2,0,FINISHED,1
2022-11-25T10:00:00Z,Wales,Iran,0,2,FINISHED,2
2022-11-25T13:00:00Z,Qatar,Senegal,1,3,FINISHED,2
2022-11-25T16:00:00Z,Netherlands,Ecuador,1,1,FINISHED,2
2022-11-25T19:00:00Z,England,United States,0,0,FINISHED,2
2022-11-26T10:00:00Z,Tunisia,Australia,0,1,FINISHED,2
2022-11-26T13:00:00Z,Poland,Saudi Arabia,2,0,FINISHED,2
2022-11-26T16:00:00Z,France,Denmark,2,1,FINISHED,2
2022-11-26T19:00:00Z,Argentina,Mexico,2,0,FINISHED,2
2022-11-27T10:00:00Z,Japan,Costa Rica,0,1,FINISHED,2
2022-11-27T13:00:00Z,Belgium,Morocco,0,2,FINISHED,2
2022-11-27T16:00:00Z,Croatia,Canada,4,1,FINISHED,2
2022-11-27T19:00:00Z,Spain,Germany,1,1,FINISHED,2
2022-11-28T10:00:00Z,Cameroon,Serbia,3,3,FINISHED,2
2022-11-28T13:00:00Z,South Korea,Ghana,2,3,FINISHED,2
2022-11-28T16:00:00Z,Brazil,Switzerland,1,0,FINISHED,2
2022-11-28T19:00:00Z,Portugal,Uruguay,2,0,FINISHED,2
2022-11-29T15:00:00Z,Netherlands,Qatar,2,0,FINISHED,3
2022-11-29T15:00:00Z,Ecuador,Senegal,1,2,FINISHED,3
2022-11-29T19:00:00Z,Wales,England,0,3,FINISHED,3
2022-11-29T19:00:00Z,Iran,United States,0,1,FINISHED,3
2022-11-30T15:00:00Z,Tunisia,France,1,0,FINISHED,3
2022-11-30T15:00:00Z,Australia,Denmark,1,0,FINISHED,3
2022-11-30T19:00:00Z,Poland,Argentina,0,2,FINISHED,3
2022-11-30T19:00:00Z,Saudi Arabia,Mexico,1,2,FINISHED,3
2022-12-01T15:00:00Z,Croatia,Belgium,0,0,FINISHED,3
2022-12-01T15:00:00Z,Canada,Morocco,1,2,FINISHED,3
2022-12-01T19:00:00Z,Japan,Spain,2,1,FINISHED,3
2022-12-01T19:00:00Z,Costa Rica,Germany,2,4,FINISHED,3
2022-12-02T15:00:00Z,South Korea,Portugal,2,1,FINISHED,3
2022-12-02T15:00:00Z,Ghana,Uruguay,0,2,FINISHED,3
2022-12-02T19:00:00Z,Cameroon,Brazil,1,0,FINISHED,3
2022-12-02T19:00:00Z,Serbia,Switzerland,2,3,FINISHED,3
2022-12-03T15:00:00Z,Netherlands,United States,3,1,FINISHED,4
2022-12-03T19:00:00Z,Argentina,Australia,2,1,FINISHED,4
2022-12-04T15:00:00Z,France,Poland,3,1,FINISHED,4
2022-12-04T19:00:00Z,England,Senegal,3,0,FINISHED,4
2022-12-05T15:00:00Z,Japan,Croatia,2,4,FINISHED,4
2022-12-05T19:00:00Z,Brazil,South Korea,4,1,FINISHED,4
2022-12-06T15:00:00Z,Morocco,Spain,3,0,FINISHED,4
2022-12-06T19:00:00Z,Portugal,Switzerland,6,1,FINISHED,4
2022-12-09T15:00:00Z,Croatia,Brazil,5,3,FINISHED,5
2022-12-09T19:00:00Z,Netherlands,Argentina,5,6,FINISHED,5
2022-12-10T15:00:00Z,Morocco,Portugal,1,0,FINISHED,5
2022-12-10T19:00:00Z,England,France,1,2,FINISHED,5
2022-12-13T19:00:00Z,Argentina,Croatia,3,0,FINISHED,6
2022-12-14T19:00:00Z,France,Morocco,2,0,FINISHED,6
2022-12-17T15:00:00Z,Croatia,Morocco,2,1,FINISHED,7
2022-12-18T15:00:00Z,Argentina,France,7,5,FINISHED,8
